Region,Site,Plant,Rep,Row,Order,hg_Tallest,volD1,volD2,b,fl,fr,infl,ch,prc,notes
MT,NH,5,A,1,1,23,18,15,0,0,0,0,0,0,
MT,CWN,47,A,1,2,20,3,4,0,0,0,0,0,0,
MT,NH,221,A,1,3,25,10,2,0,0,0,0,0,0,
MT,BF,216,A,1,4,24,25,25,0,0,0,0,0,0,
MT,CWN,50,B,1,5,24,10,20,0,0,0,0,0,0,
MT,BF,125,B,1,6,31,20,25,0,0,0,0,0,5,
WI,BOL,16,B,1,7,17,7,2,0,0,0,0,0,0,
MT,MJS,194,A,1,8,17,3,2,0,0,0,0,0,0,
WI,SRD,182,A,1,9,68,10,7,1,1,0,2,5,7,
WI,BEN,209,A,1,10,45,40,40,0,0,0,0,0.5,15,
MT,MS,158,C,1,11,18,2,10,0,0,0,0,0,0,
MT,MS,217,A,1,12,19,2,3,0,0,0,0,0,0,
MT,NH,6,A,1,13,20,20,2,0,0,0,0,0,0,2 galls
MT,NH,222,B,1,14,24,20,10,0,0,0,0,0,0,
WI,STB,134,B,1,15,60,5,5,0,0,0,0,0,25,
WI,UWM,38,B,1,16,68,10,5,1,1,0,4,0,0,
WI,BEN,172,B,1,17,49,45,5,0,0,0,0,0,5,
WI,BEN,170,B,1,18,45,5,10,0,0,0,0,0,5,
WI,STB,198,A,1,19,45,10,15,0,0,0,0,0,0,
WI,SDA,114,B,1,20,52,5,15,1,1,0,1,5,5,
MT,BF,123,B,2,21,28,16,12,0,0,0,0,0.5,0,
MT,CWN,54,B,2,22,15,9,6,0,0,0,0,0,0,
WI,UWM,35,A,2,23,60,20,23,1,1,0,8,2,0,
WI,BEN,208,E,2,24,,,,,,,,,,dead
WI,BOL,22,A,2,25,62,28,26,1,1,0,28,1,0,
WI,SRD,175,B,2,26,70,17,15,1,1,0,4,0,30,
MT,BF,126,B,2,27,22,6,10,0,0,0,0,1,5,
WI,STB,142,A,2,28,62,14,15,1,1,0,4,0.5,0,
WI,SDA,207,A,2,29,30,10,10,0,0,0,0,0,0,
MT,NH,6,B,2,30,31,13,15,0,0,0,0,0.5,3,
WI,BEN,208,C,2,31,61,34,25,1,0,0,1,3,0,
WI,STB,199,B,2,32,60,15,16,1,0,0,3,2,5,
MT,MPG,204,B,2,33,20,12,8,0,0,0,0,0,0,
MT,MJS,197,B,2,34,18,10,12,0,0,0,0,0.1,0,
MT,MS,158,A,2,35,28,14,17,0,0,0,0,1,0,
MT,BF,127,B,2,36,20,6,5,0,0,0,0,0,0,
MT,CWN,226,B,2,37,15,6,6,0,0,0,0,0,0,
MT,BF,214,B,2,38,20,7,8,0,0,0,0,0,0,
MT,BF,216,B,2,39,13,13,9,0,0,0,0,0,0,
WI,SDA,227,B,2,40,48,10,12,0,0,0,0,0.5,0,
MT,CWN,225,A,3,41,22,13,12,0,0,0,0,0,0,
WI,BEN,162,B,3,42,74,28,24,1,1,0,3,2,0,
