Region,Site,Plant,Rep,Row,Flowered,HeadSize,HeadMass,N_tubes,HerbDmg,Col_grub,Lep_grub,Lep_Phy,Fly,Unknwn,Seeds_No,Seed_wt,Notes,DateP
WI,BOL,14,A,10,1,14.4,0.1789,112,0,0,0,0,0,0,220,0.0596,,silk on sepals
WI,BOL,14,A,10,1,18.3,0.3005,228,1,0,1,0,0,0,360,0.1114,,round white cocoon
WI,BOL,14,A,10,1,17.4,0.2655,136,0,0,0,0,0,0,440,0.0942,,parasitized lep pupa
WI,BOL,14,B,17,1,20.8,0.2021,144,1,0,1,0,0,0,96,0.0266,,hemipteran eggs on sepal
WI,BOL,15,A,5,1,13,0.1263,76,0,0,0,0,0,0,80,0.318,empty silk cacoon,1/19/2022
WI,BOL,15,A,5,1,16.9,0.1837,144,0,0,0,0,0,0,160,0.0453,,1/19/2022
WI,BOL,15,A,5,1,17.2,0.1909,128,0,0,0,0,0,0,90,0.0362,empty silk cacoon,1/19/2022
WI,BOL,16,A,11,1,18.73,0.2422,84,1,0,1,0,0,94,0.053,0.1617,,12/1/2021
WI,BOL,17,A,12,1,,,,,,,,,,,,,12/1/2021
WI,BOL,17,B,17,1,16.5,0.2214,148,0,0,0,0,0,0,184,0.0688,,12/1/2021
WI,BOL,17,B,17,1,13.5,0.1546,100,1,0,0,1,0,1,116,0.0396,,12/1/2021
WI,BOL,17,B,17,1,17.4,0.2335,148,0,0,0,0,0,0,200,0.0596,,12/1/2021
WI,BOL,18,B,9,1,17.1,0.2013,164,1,0,1,0,0,0,228,0.056,,1/14/2021
WI,BOL,18,B,9,1,17.3,0.173,108,1,0,0,0,0,1,180,0.0454,,1/14/2021
WI,BOL,18,B,9,1,16.2,0.2016,108,0,0,0,0,0,0,200,0.475,empty silk cacoon,1/14/2021
WI,BOL,19,A,11,1,13.4,0.0886,124,1,0,0,0,0,0,84,0.018,,12/1/2021
WI,BOL,20,A,14,1,,,,,,,,,,,,,12/1/2021
WI,BOL,21,A,15,1,,,,,,,,,,,,,11/29/2021
WI,BOL,21,B,10,1,15.3,0.1254,64,0,0,0,0,0,0,25,0.0069,,1/24/2022
WI,BOL,22,A,2,1,18.2,0.2075,120,0,0,0,0,0,0,148,0.0333,,1/31/2022
WI,BOL,22,A,2,1,20.5,0.2813,168,0,0,0,0,0,0,520,0.0938,empty silk cacoon,1/31/2022
WI,BOL,22,A,2,1,18.4,0.2511,216,0,0,0,0,0,0,280,0.0663,,1/31/2022
WI,BOL,22,B,5,1,18.8,0.2437,140,0,0,0,0,0,0,90,0.0209,,1/24/2022
WI,BOL,22,B,5,1,17.2,0.2119,128,0,0,0,0,0,0,110,0.2119,,1/24/2022
WI,BOL,24,B,5,1,17.3,0.1643,108,1,0,0,0,0,1,70,0.014,,1/24/2022
WI,BOL,24,A,6,1,20.7,0.3372,196,0,0,0,0,0,0,220,0.0977,"Alive ant, empty white small cacoon ",11/29/2021
WI,BOL,24,A,6,1,13,0.0778,44,0,0,0,0,0,0,40,0.0177,,11/29/2021
WI,BOL,24,A,6,1,18.9,0.2096,172,0,0,0,0,0,0,50,0.0215,,11/29/2021
WI,BOL,24,B,11,1,16.8,0.2553,168,0,0,0,0,0,0,210,0.0553,,11/29/2021
WI,UWM,33,A,10,1,19.2,0.3733,188,1,0,0,0,0,0,270,0.0964,,11/29/2021
WI,UWM,33,A,10,1,15.4,0.2009,132,0,0,0,0,0,0,304,0.074,,11/29/2021
WI,UWM,33,A,10,1,13.9,0.1704,136,0,0,0,0,0,0,188,0.0563,,11/22/2021
WI,UWM,33,B,12,1,,,,,,,,,,,,,11/22/2021
WI,UWM,35,A,2,1,15.2,0.1932,140,0,0,0,0,0,0,118,0.0392,,11/22/2021
WI,UWM,35,A,2,1,14.6,0.1817,124,0,0,0,0,0,0,186,0.0422,,11/22/2021
WI,UWM,35,A,2,1,16.1,0.1624,120,0,0,0,0,0,0,98,0.03,,11/22/2021
WI,UWM,35,B,10,1,15.8,0.1156,108,0,0,0,0,0,0,180,0.03,,1/21/2022
WI,UWM,35,B,10,1,17.9,0.1928,228,0,0,0,0,0,0,200,0.0364,,1/21/2022
WI,UWM,35,B,10,1,18,0.1914,144,0,0,0,0,0,0,340,0.0523,,1/21/2022
WI,UWM,36,A,5,1,16.19,0.197,83,0,0,0,0,0,0,148,0.0525,,11/22/2021
WI,UWM,36,A,5,1,16.36,0.1879,67,1,0,1,0,0,0,146,0.0531,,11/22/2021
WI,UWM,36,A,5,1,16.83,0.1748,76,0,0,0,0,0,0,100,0.0414,,11/22/2021
WI,UWM,36,B,12,1,,,,,,,,,,,,,11/22/2021
WI,UWM,37,B,13,1,18.7,0.2385,196,0,0,0,0,0,0,380,0.0845,,1/14/2022
WI,UWM,37,B,13,1,19.7,0.2022,160,0,0,0,0,0,0,240,0.0512,,1/14/2022
WI,UWM,37,B,13,1,19,0.2334,176,0,0,0,0,0,0,340,0.0661,,1/14/2022
WI,UWM,38,A,12,1,18.3,0.1711,160,0,0,0,0,0,0,289,0.056,,1/10/2022
WI,UWM,38,A,12,1,17.9,0.1672,176,1,0,1,0,0,0,360,0.0638,,1/10/2022
WI,UWM,38,A,12,1,15.2,0.1325,136,0,0,0,0,0,0,240,0.414,,1/10/2022
WI,UWM,38,B,1,1,13.7,0.1149,124,0,0,0,0,0,0,208,0.0352,,1/12/2022
,UWM,38,B,1,1,17.7,0.1567,128,0,0,0,0,0,0,240,0.0452,,1/12/2022
,UWM,38,B,1,1,19.9,0.2082,144,0,0,0,0,0,0,260,0.0578,,1/12/2022
WI,UWM,39,A,7,1,13.9,0.1697,120,0,0,0,0,0,0,360,0.0727,,2/7/2022
WI,UWM,39,A,7,1,18.5,0.224,148,0,0,0,0,0,0,320,0.0784,,2/7/2022
WI,UWM,39,A,7,1,17.6,0.1887,132,0,0,0,0,0,0,380,0.083,,2/7/2022
WI,UWM,39,B,5,1,17.9,0.2463,148,0,0,0,0,0,0,372,0.076,,11/19/2021
WI,UWM,40,B,5,1,18.8,0.2585,180,0,0,0,0,0,0,396,0.0941,,11/17/2021
WI,UWM,41,B,5,1,16.28,0.208,77,0,0,0,0,0,0,151,0.036,small white coccoon,11/17/2021
WI,UWM,41,B,5,1,10.62,0.0635,40,0,0,0,0,0,0,117,0.0212,,11/17/2021
WI,UWM,41,B,5,1,15.25,0.1522,95,0,0,0,0,0,0,124,0.0277,,11/17/2021
WI,UWM,41,A,6,1,,,,,,,,,,,,,11/17/2021
WI,UWM,41,B,3,1,,,,,,,,,,,,,11/17/2021
WI,UWM,42,B,13,1,17.5,0.1428,124,0,0,0,0,0,0,240,0.0502,,1/21/2022
WI,UWM,42,B,13,1,15.4,0.1596,120,0,0,0,0,0,0,300,0.0616,,1/21/2022
WI,UWM,42,B,13,1,14.6,0.1433,128,0,0,0,0,0,0,260,0.1245,,1/21/2022
WI,SDA,109,A,18,1,,,,,,,,,,,,,11/17/2021
WI,SDA,109,B,6,1,18.99,0.2178,65,1,0,1,0,0,0,67,0.025,small white coccoon,11/17/2021
WI,SDA,109,B,6,1,14.01,0.1351,52,1,0,0,0,0,2,14,0.0064,2 small lep pupae,11/17/2021
WI,SDA,109,B,6,1,17.97,0.1878,100,0,0,0,0,0,0,127,0.0363,,11/17/2021
WI,SDA,110,A,18,1,17.6,0.181,62,1,0,2,0,0,0,39,0.0188,tied leaves,11/17/2021
WI,SDA,110,A,18,1,11.3,0.0754,60,1,0,0,0,0,0,20,0.0072,,11/15/2021
WI,SDA,110,A,18,1,15.6,0.1607,132,1,0,1,0,0,0,91,0.036,rearing,11/15/2021
WI,SDA,110,B,12,1,9.2,0.0665,56,0,0,0,0,0,0,2,0.0007,,1/24/2022
WI,SDA,110,B,12,1,15.1,0.0655,46,0,0,0,0,0,0,0,0,,1/24/2022
WI,SDA,110,B,12,1,17.4,0.1016,68,0,0,0,0,0,0,5,0.0025,,1/24/2022
WI,SDA,111,A,14,1,,,,,,,,,,,,,11/15/2021
WI,SDA,111,B,6,1,,,,,,,,,,,,,11/15/2021
WI,SDA,113,A,7,1,13.2,0.0863,80,0,0,0,0,0,0,120,0.0224,,1/19/2022
WI,SDA,113,A,8,1,10.6,0.0846,72,1,0,0,0,0,1,16,0.0031,,1/19/2022
WI,SDA,113,A,9,1,18.2,0.2035,144,0,0,0,0,0,0,200,0.0508,,1/19/2022
WI,SDA,114,A,7,1,16.97,0.2088,70,1,0,0,0,0,0,72,0.0237,,11/15/2021
WI,SDA,114,A,7,1,18.09,0.2505,71,1,0,1,0,0,0,58,0.0201,small white coccoon,11/15/2021
WI,SDA,114,A,7,1,17.89,0.2785,98,1,0,0,0,0,0,150,0.0542,,11/15/2021
WI,SDA,114,B,1,1,21,0.2972,164,1,0,0,0,,0,228,0.0888,,11/10/2021
WI,SDA,115,A,3,1,11.72,0.1123,44,0,0,0,0,0,0,40,0.0194,small white coccoon,11/10/2021
WI,SDA,115,A,3,1,11.9,0.1266,42,0,0,0,0,0,0,48,0.0288,,11/10/2021
WI,SDA,115,A,3,1,9.99,0.0704,29,0,0,0,0,0,0,29,0.0129,,11/10/2021
WI,SDA,115,B,15,1,18.1,0.2644,140,0,0,0,0,0,0,128,0.0483,,11/10/2021
WI,SDA,115,B,15,1,21.8,0.3651,228,0,0,0,0,0,0,344,0.0809,,11/10/2021
WI,SDA,115,B,15,1,19.8,0.3218,236,0,0,0,0,0,0,404,0.0934,,11/10/2021
WI,SDA,116,A,12,1,,,,,,,,,,,,,
WI,SDA,116,B,13,1,,,,,,,,,,,,,
WI,SDA,117,A,3,1,,,,,,,,,,,,,
WI,SDA,119,A,16,1,18.7,0.2181,148,1,0,1,0,0,0,272,0.0629,,
WI,SDA,119,A,16,1,19.88,0.2689,140,1,0,1,0,0,0,220,0.0717,,
WI,SDA,119,A,16,1,14.6,0.1435,96,0,0,0,0,0,0,98,0.0314,,
WI,STB,134,A,3,1,15.9,0.1214,92,1,0,0,0,0,1,12,0.002,,1/12/2022
,STB,134,A,3,1,14.1,0.0768,48,1,0,0,0,0,1,8,0.0007,empty silk cacoon,1/12/2022
,STB,134,A,3,1,18.9,0.1702,108,1,0,1,0,0,0,120,0.0255,empty silk cacoon,1/12/2022
WI,STB,136,B,7,1,,,,,,,,,,,,,
WI,STB,137,A,17,1,19.9,0.2748,148,0,0,0,0,0,0,202,0.0551,,
WI,STB,137,A,17,1,20.5,0.2325,120,1,0,0,0,0,0,236,0.0558,,
WI,STB,137,A,17,1,17.4,0.1779,124,0,0,0,0,0,0,116,0.0402,,
WI,STB,137,B,6,1,20.6,0.2088,144,1,0,0,0,0,0,212,0.0351,,
WI,STB,137,B,6,1,11.1,0.0393,38,1,0,1,0,0,0,3,0,pupa,
WI,STB,137,B,6,1,21.8,0.3143,212,1,0,0,0,0,0,156,0.0347,,
WI,STB,138,B,4,1,8.9,0.0428,32,1,1,0,0,0,0,30,0.0066,,
WI,STB,138,B,4,1,20,0.2008,128,1,0,1,0,0,0,80,0.0232,pupa,
WI,STB,138,B,4,1,12.8,0.0793,72,0,0,0,0,0,0,56,0.0173,,
WI,STB,141,A,8,1,16.2,0.2102,152,1,0,1,0,0,0,168,0.0628,pupa,
WI,STB,141,A,8,1,12.4,0.0633,56,1,0,0,0,0,0,28,0.0047,,
WI,STB,141,A,8,1,16.6,0.1789,124,1,0,1,0,0,0,128,0.0441,pupa,
WI,STB,141,B,13,1,9.2,0.0403,42,0,0,0,0,0,0,4,0.0003,,
WI,STB,141,B,13,1,14.2,0.0744,50,1,1,0,0,0,0,60,0.0183,,
WI,STB,141,B,13,1,18,0.2204,180,1,1,0,0,0,0,184,0.0525,,
WI,STB,142,A,2,1,18.7,0.1507,116,0,0,0,0,0,0,74,0.0243,Col grub in bag,1/19/2022
WI,STB,142,A,2,1,18.3,0.1629,128,0,0,0,0,0,0,80,0.033,,1/19/2022
WI,STB,142,A,2,1,18,0.171,124,1,0,0,1,0,0,78,0.0245,,1/19/2022
WI,STB,142,B,7,1,,,,,,,,,,,,,
WI,STB,143,B,18,1,17.4,0.1727,124,0,0,0,0,0,0,168,0.0592,small white coccoon,1/28/2022
WI,STB,143,B,18,1,17.8,0.2492,156,0,0,0,0,0,0,300,0.1008,small white coccoon,1/28/2022
WI,STB,143,B,18,1,20.8,0.2858,152,0,0,0,0,0,0,280,0.1026,,1/28/2022
WI,BEN,162,A,13,1,20.6,0.3209,244,1,0,0,0,0,0,180,0.0671,,
WI,BEN,162,B,3,1,20.5,0.2754,192,1,0,0,1,0,0,200,0.0576,spider,1/10/2022
WI,BEN,163,A,16,1,14.8,0.1438,132,0,0,0,0,0,0,120,0.0366,,1/12/2022
,BEN,163,A,16,1,14.9,0.1624,124,0,0,0,0,0,0,140,0.0405,,1/12/2022
WI,BEN,163,B,5,1,18.84,0.2845,118,0,0,0,0,0,0,152,0.0534,small white coccoon,
WI,BEN,164,B,5,1,17.76,0.2613,94,0,0,0,0,0,0,83,0.0349,,
WI,BEN,165,B,5,1,16.27,0.2233,99,1,0,1,0,0,0,39,0.0164,,
WI,BEN,164,A,15,1,12.9,0.1205,100,0,0,0,0,0,0,138,0.0303,,
WI,BEN,164,B,13,1,,,,,,,,,,,,,
WI,BEN,164,D,8,1,18.7,0.2288,152,0,0,0,0,0,0,200,0.0818,,1/31/2022
WI,BEN,164,D,8,1,17.4,0.2065,140,1,0,0,1,0,0,204,0.0641,,1/31/2022
WI,BEN,164,D,8,1,17.6,0.2117,144,0,0,0,0,0,0,70,0.031,,1/31/2022
WI,BEN,164,E,6,1,18.1,0.1519,124,0,0,0,0,0,0,240,0.0628,,1/26/2022
WI,BEN,164,E,6,1,20.3,0.1817,140,0,0,0,0,0,0,300,0.0849,,1/26/2022
WI,BEN,164,E,6,1,21.1,0.2509,172,1,0,0,1,0,0,280,0.0813,,1/26/2022
WI,BEN,165,A,4,1,,,,,,,,,,,,,
WI,BEN,165,B,4,1,15.2,0.1272,88,1,0,0,0,0,0,106,0.0364,,
WI,BEN,165,B,4,1,17.9,0.2569,144,0,0,0,0,0,0,214,0.1008,,
WI,BEN,165,B,4,1,16.2,0.1595,172,0,0,0,0,0,0,178,0.0435,,
WI,BEN,166,A,13,1,,,,,,,,,,,,,
WI,BEN,167,D,18,1,20.4,0.2067,236,0,0,0,0,0,0,100,0.0214,,1/14/2022
WI,BEN,167,D,18,1,19.9,0.2188,164,1,0,0,1,0,0,120,0.0362,,1/14/2022
WI,BEN,167,D,18,1,21.4,0.2915,196,0,0,0,0,0,0,180,0.0568,,1/14/2022
WI,BEN,167,E,4,1,18.1,0.2368,160,1,0,0,0,0,1,84,0.0312,I think its raspberry pyrausta larva,
WI,BEN,167,E,4,1,19.6,0.3168,220,0,0,0,0,0,0,158,0.0516,,
WI,BEN,168,A,14,1,,,,,,,,,,,,,
WI,BEN,168,B,12,1,7.7,0.0195,24,0,0,0,0,0,0,1,0.0001,,1/19/2022
WI,BEN,168,C,7,1,15.7,0.1449,76,1,0,0,0,0,0,103,0.0329,,
WI,BEN,168,D,7,1,,,,,,,,,,,,,
WI,BEN,168,E,15,1,18.6,0.1554,136,0,0,0,0,0,0,180,0.039,,1/26/2022
WI,BEN,168,E,15,1,14.6,0.0877,92,0,0,0,0,0,0,175,0.0331,,1/26/2022
WI,BEN,168,E,15,1,19.1,0.2663,184,0,0,0,0,0,0,260,0.0763,,1/26/2022
WI,BEN,169,A,15,1,15.7,0.1325,116,1,0,0,1,0,0,100,0.03,A pyrausta in bag,12/3/2021
WI,BEN,169,A,15,1,17.1,0.1361,112,0,0,0,0,0,0,60,0.0203,A pyrausta in bag,12/3/2021
WI,BEN,169,A,15,1,17.4,0.0834,116,0,0,0,0,0,0,21,0.0067,A pyrausta in bag,12/3/2021
WI,BEN,169,B,13,1,12.9,0.1178,76,0,0,0,0,0,0,110,0.0362,,1/28/2022
WI,BEN,169,B,13,1,17.8,0.1898,88,1,0,0,1,0,0,148,0.0521,,1/28/2022
WI,BEN,169,C,9,1,19.2,0.26,148,0,0,0,0,0,0,388,0.1158,,1/31/2022
WI,BEN,169,C,9,1,18.5,0.2209,176,0,1,0,0,0,0,320,0.0662,,1/31/2022
WI,BEN,169,C,9,1,20.5,0.2345,144,0,0,0,0,0,0,220,0.0646,,1/31/2022
WI,BEN,169,D,17,1,,,,,,,,,,,,,
WI,BEN,170,A,16,1,18.2,0.2044,172,0,0,0,0,0,0,200,0.0516,,
WI,BEN,170,A,16,1,15,0.1165,120,0,0,0,0,0,0,120,0.0378,,
WI,BEN,170,A,16,1,16.2,0.1273,148,0,0,0,0,0,0,140,0.325,,
WI,BEN,170,C,17,1,21.8,0.3678,184,1,0,0,0,0,0,264,0.097,,
WI,BEN,170,C,17,1,21.2,0.3662,184,1,0,2,0,0,0,326,0.1283,,
WI,BEN,170,C,17,1,16.7,0.2202,132,1,0,1,0,0,0,134,0.0624,,
WI,BEN,170,D,9,1,,,,,,,,,,,,,
WI,BEN,171,B,11,1,17.3,0.147,104,0,0,0,0,0,0,160,0.0639,,1/12/2022
,BEN,171,B,11,1,19.5,0.2162,136,0,0,0,0,0,0,220,0.0546,,1/12/2022
,BEN,171,B,11,1,22.1,0.2644,148,1,0,0,0,0,1,100,0.0325,empty silk cacoon,
WI,BEN,172,C,12,1,15.4,0.157,168,1,0,0,0,0,1,100,0.0226,"empty, small, white cacoon",12/1/2021
WI,BEN,172,C,12,1,16.9,0.1601,112,1,0,0,0,0,1,16,0.0055,"empty, small, white cacoon",12/1/2021
WI,BEN,172,C,12,1,13.8,0.1218,116,1,0,0,0,0,1,108,0.288,"empty, small, white cacoon",12/1/2021
WI,BEN,172,E,5,1,14.7,0.1368,92,0,0,0,0,0,0,80,0.0247,,1/28/2022
WI,BEN,172,E,5,1,20.1,0.2736,140,0,0,0,0,0,0,280,0.094,,1/28/2022
WI,BEN,172,E,5,1,16.5,0.1667,104,0,0,0,0,0,0,175,0.0453,,1/28/2022
WI,BEN,173,A,18,1,,,,,,,,,,,,,
WI,BEN,173,B,15,1,,,,,,,,,,,,,
WI,BEN,173,D,8,1,15.2,0.2019,136,1,0,1,0,0,0,200,0.0578,small white caccoon,1/28/2022
WI,BEN,173,D,8,1,14.5,0.1295,96,0,0,0,0,0,0,7,0.0027,small white caccoon,1/28/2022
WI,BEN,173,E,16,1,18.5,0.2027,180,0,0,0,0,0,0,160,0.0395,,
WI,SRD,174,A,6,1,14.1,0.1301,92,1,0,1,0,0,0,100,0.0266,,1/28/2022
WI,SRD,174,A,6,1,17.8,0.1956,152,0,0,0,0,0,0,80,0.0353,small white caccoon,1/28/2022
WI,SRD,174,A,6,1,13.9,0.1096,88,1,0,0,1,0,0,90,0.0192,,1/28/2022
WI,SRD,174,B,8,1,16.9,0.2467,156,0,0,0,0,0,0,201,0.0493,,
WI,SRD,174,B,8,1,15.6,0.146,92,0,0,0,0,0,0,162,0.0358,,
WI,SRD,174,B,8,1,15.5,0.1474,104,1,0,1,0,0,0,121,0.0271,,
WI,SRD,175,A,11,1,16.2,0.1085,76,0,0,0,0,0,0,15,0.003,small white cacoon,12/3/2021
WI,SRD,175,A,11,1,11.9,0.0793,100,0,0,0,0,0,0,160,0.013,small white caccoon,12/3/2021
WI,SRD,175,A,11,1,17.5,0.1554,144,0,0,0,0,0,0,80,0.016,,12/3/2021
WI,SRD,175,B,2,1,16.8,0.2496,144,1,0,0,0,0,1,180,0.067,Casing found in head,
WI,SRD,175,B,2,1,18.3,0.2704,180,1,0,1,0,0,0,280,0.0979,pupa,
WI,SRD,175,B,2,1,16.6,0.133,116,0,0,0,0,0,0,48,0.0104,,
WI,SRD,177,B,5,1,14.8,0.1354,100,0,0,0,0,0,0,168,0.0385,,
WI,SRD,177,B,5,1,12.4,0.0904,56,0,0,0,0,0,0,140,0.0277,,
WI,SRD,177,B,5,1,16.2,0.1329,116,0,0,0,0,0,0,180,0.0331,,
WI,SRD,178,B,6,1,20.01,0.2469,97,0,0,0,0,0,0,89,0.042,,
WI,SRD,179,A,7,1,18.6,0.2933,220,0,0,0,0,0,0,160,0.0749,,
WI,SRD,179,A,7,1,16.1,0.1461,132,1,0,0,0,0,0,40,0.0165,,
WI,SRD,179,A,7,1,15.8,0.1475,152,1,0,0,0,0,0,30,,,
WI,SRD,180,A,5,1,16.7,0.1291,156,0,0,0,0,0,0,140,0.0219,,1/26/2022
WI,SRD,180,A,5,1,17.2,0.1908,132,0,0,0,0,0,0,380,0.0574,,1/26/2022
