Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
MT,NH,5,A,1,1,97,0.6288,5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,CWN,47,A,1,2,125,0.5245,47A,T,0.39,0.047,0.035,0.015,0.449,0.394,0.07,0.024,0.636,2.044,0.162,0.01,1.365,0.235,0.045,0.007,0.048,0,0.022,0,0.049,17.701,0,0,24.514,2.122,0,0,0,50.383,26.636
MT,NH,221,A,1,3,47,0.585,221A,T,0.559,0.077,0.058,0.019,0.125,0.646,0.114,0.033,1.061,2.694,0.266,0.015,2.738,0.225,0.039,0.012,0.031,0,0.022,0,0.058,9.674,0,0,41.448,3.303,0.011,0,0.008,63.236,44.751
MT,BF,216,A,1,4,201,0.9244,216A,C,0.791,0.099,0.089,0.029,0.053,0.894,0.141,0.042,1.221,3.657,0.353,0.028,7.627,0.255,0.058,0.014,0.043,0,0.021,0,0.668,8.7,0,0,0.059,46.149,0,0,0.028,71.016,46.208
MT,CWN,50,B,1,5,69,0.476,50B,T,0.792,0.15,0.087,0.037,0.398,0.785,0.14,0.046,1.154,2.743,0.29,0.014,3.905,0.303,0.049,0.017,0.048,0,0.018,0,0.512,13.041,0,0,35.268,2.67,0,0,0.108,62.578,37.938
MT,BF,125,B,1,6,70,0.709,125B,C,0.767,0.142,0.136,0.047,0.184,0.86,0.151,0.042,1.141,3.082,0.334,0.036,7.227,0.315,0.036,0,0.064,0,0.028,0,0.144,9.142,0,0,0.322,54.356,0,0,0.083,78.639,54.678
WI,BOL,16,B,1,7,207,1.7777,16B,T,0.065,0.013,0.001,0,0.075,0.095,0.003,0,0.086,0.863,0.032,0,0.509,0.019,0,0,0,0,0,0,0.002,2.535,0,0,3.787,0.125,0,0,0,8.211,3.912
MT,MJS,194,A,1,8,83,0.335,194A,T,0.635,0.101,0.074,0.028,0.137,0.709,0.103,0.032,1.04,3.098,0.276,0.016,2.919,0.338,0.064,0.021,0.05,0,0.035,0,0.079,13.856,0,0,48.346,4.086,0.074,0,0.041,76.16,52.432
WI,SRD,182,A,1,9,50,0.671,182A,T,0.014,0,0,0,0.028,0.016,0,0,0.01,0.31,0.017,0,0.065,0.01,0,0,0,0,0,0,0.024,0.527,0,0,0.677,0,0,0,0,1.698,0.677
WI,BEN,209,A,1,10,208,2.479,209A,T,0.843,0.144,0.155,0.044,0.735,0.934,0.166,0.055,1.328,3.829,0.435,0.032,6.127,0.363,0.067,0.03,0.051,0,0.046,0,0.328,12.509,0,0,60.458,3.723,0,0.051,0.069,92.525,64.181
MT,MS,158,C,1,11,58,0.661,158C,T,0.552,0.08,0.067,0.024,0.203,0.549,0.101,0.034,1.013,2.445,0.238,0.017,4.38,0.286,0.04,0.011,0.033,0,0.026,0,0.032,10.267,0,0,40.483,2.999,0.054,0,0.026,63.96,43.482
MT,MS,217,A,1,12,53,0.403,217A,T,0.35,0.059,0.042,0.02,0.179,0.374,0.061,0.022,0.542,1.799,0.174,0.004,1.325,0.239,0.054,0.017,0.033,0,0.022,0,0.029,11.655,0,0,25.045,1.992,0.008,0,0.086,44.131,27.037
MT,NH,6,A,1,13,68,0.661,6A,T,0.456,0.054,0.045,0.017,0.243,0.501,0.084,0.021,0.949,2.386,0.211,0.011,3.159,0.212,0.032,0.005,0.035,0,0.02,0,0.352,12.606,0,0,37.342,2.005,0.024,0,0,60.77,39.347
MT,NH,222,B,1,14,45,0.484,222B,T,0.165,0.031,0.021,0.007,0.032,0.228,0.044,0.015,0.446,1.211,0.113,0.006,2.122,0.14,0.024,0.009,0.02,0,0.02,0,0.128,10.559,0,0,10.404,0.654,0,0,0,26.397,11.058
WI,STB,134,B,1,15,203,0.9998,134B,T,0.025,0.005,0.003,0,0.155,0.034,0.003,0,0.025,0.973,0.02,0,0.232,0.023,0,0,0,0.012,0,0,0.079,1.657,0,0,2.552,0,0,0,0,5.797,2.552
WI,UWM,38,B,1,16,156,1.7749,38B,C,0.175,0.023,0.009,0.006,0.431,0.173,0.021,0.009,0.154,1.061,0.076,0.004,1.014,0.046,0.007,0.003,0.007,0.004,0.003,0.001,0.01,2.392,0,0,0.022,12.549,0.032,0.002,0.001,18.237,12.571
WI,BEN,172,B,1,17,154,2.2859,172B,T,0.1,0.014,0.005,0.005,0.378,0.12,0.019,0.006,0.18,0.802,0.052,0,0.729,0.045,0.003,0.003,0.01,0,0.005,0,0.009,3.723,0,0,7.018,0.63,0,0,0.008,13.866,7.648
WI,BEN,170,B,1,18,76,0.824,170B,G,0,0,0,0,0.523,0.261,0,0,0.012,0.042,0.005,0.02,0.169,0.008,0.207,0,0,0,0,0.102,0.054,0,59.713,0.771,0,0,0,0.058,0.082,62.025,0
WI,STB,198,A,1,19,159,1.1102,198A,C,0.012,0,0,0,0.126,0.017,0,0,0.004,0.828,0.008,0,0.119,0.013,0,0,0,0.011,0,0,0.082,0.488,0,0,0,0.815,0,0,0,2.524,0.815
WI,SDA,114,B,1,20,3,0.844,114B,T,0.217,0.028,0.017,0,0.343,0.315,0.038,0.013,0.336,2.138,0.134,0.006,1.513,0.161,0.039,0.003,0.028,0.012,0.016,0,0.722,5.992,0,0,28.799,0.135,0,0,0,41.004,28.934
MT,BF,123,B,2,21,84,0.526,123B,C,0.648,0.112,0.074,0.032,0.105,0.731,0.116,0.036,0.907,2.774,0.291,0.027,4.564,0.258,0.04,0.016,0.033,0,0.024,0,0.061,5.327,0,0,0.121,53.139,0,0,0.045,69.478,53.26
MT,CWN,54,B,2,22,52,1.162,54B,T,0.396,0.047,0.044,0.013,0.227,0.465,0.08,0.024,0.972,2.489,0.19,0.008,4.311,0.37,0.059,0.018,0.071,0,0.039,0,0.266,18.649,0,0,26.454,1.659,0.082,0,0.018,56.954,28.113
WI,UWM,35,A,2,23,149,3.0557,35A,C,0.229,0.038,0.024,0.008,0.816,0.268,0.038,0.012,0.359,1.202,0.101,0.005,2.865,0.074,0.003,0,0.007,0,0.004,0,0.297,3.553,0,0,0.023,13.626,0,0.035,0.061,23.65,13.649
WI,BEN,208,E,2,24,116,0.5653,208E,C,0.148,0.018,0.011,0,0.13,0.141,0.022,0.007,0.219,0.76,0.068,0,1.305,0.043,0.008,0,0.009,0,0.003,0,0.007,3.602,0,0,0.08,6.287,0,0,0.013,12.883,6.367
WI,BOL,22,A,2,25,345,3.701,22A,T,0.298,0.049,0.028,0.015,1.251,0.303,0.045,0.016,0.434,1.343,0.137,0.014,1.761,0.116,0.024,0,0.027,0,0.011,0,0.601,5.472,0,0,23.478,0.328,0,0.02,0.026,35.797,23.806
WI,SRD,175,B,2,26,24,0.842,175B,T,0.284,0.053,0.032,0.016,0.638,0.31,0.051,0.016,0.458,1.323,0.132,0.007,1.192,0.109,0.012,0,0.013,0,0.007,0,0.365,6.576,0,0,26.066,0.764,0.01,0.04,0.1,38.574,26.83
MT,BF,126,B,2,27,118,0.7872,126B,C,0.354,0.054,0.059,0.019,0.311,0.508,0.081,0.028,0.601,2.057,0.191,0.031,3.653,0.178,0.032,0.008,0.025,0,0.022,0,0.059,3.648,0,0,0.115,44.844,0,0,0.019,56.896,44.959
WI,STB,142,A,2,28,158,1.764,142A,C,0.057,0.01,0.008,0,0.147,0.09,0.01,0,0.117,0.409,0.032,0,0.644,0.031,0.011,0,0,0,0,0,0,2.444,0,0,0.009,6.694,0.021,0.006,0.014,10.755,6.703
WI,SDA,207,A,2,29,67,0.378,207A,T,0.173,0.023,0.019,0.007,0.495,0.233,0.04,0.011,0.369,1.213,0.116,0,1.214,0.088,0.014,0.006,0.015,0,0.014,0,0.27,6.942,0,0,10.143,0.298,0,0,0,21.705,10.441
MT,NH,6,B,2,30,205,0.9422,6B,T,0.299,0.029,0.024,0.01,0.018,0.278,0.048,0.013,0.574,1.681,0.125,0.006,2.489,0.089,0.014,0,0.017,0.001,0.008,0,0.09,9.837,0,0,5.086,0.276,0,0,0,21.013,5.362
WI,BEN,208,C,2,31,180,1.9555,208C,C,0.08,0.028,0.02,0.006,0.139,0.157,0.025,0.01,0.209,0.799,0.073,0,0.897,0.04,0,0,0,0,0,0,0,2.731,0,0,0.074,8.6,0,0,0.011,13.899,8.674
WI,STB,199,B,2,32,106,0.6441,199B,T,0.67,0.137,0.071,0.034,0.405,0.595,0.103,0.041,0.846,2.127,0.236,0.012,2.115,0.236,0.04,0.015,0.036,0,0.025,0,0.782,7.616,0,0,23.177,1.028,0.016,0.14,0.138,40.643,24.205
MT,MPG,204,B,2,33,64,0.672,204B,T,0.9,0.144,0.096,0.041,0.309,0.912,0.149,0.049,1.324,3.7,0.391,0.023,3.663,0.514,0.103,0.029,0.063,0,0.053,0,0.123,12.579,0,0,69.259,5.174,0.03,0,0.064,99.689,74.433
MT,MJS,197,B,2,34,114,0.7006,197B,T,0.215,0.03,0.028,0.008,0.04,0.25,0.043,0.011,0.5,1.151,0.098,0.008,3.046,0.118,0.018,0,0.012,0,0.014,0,0.016,8.005,0,0,11.821,0.807,0,0,0.002,26.24,12.628
