Date,Site,Plnt,Hgt,Dmg1,Dmg2,Dmg3,Dmg4,Dmg5,Nlep,Ncol,Nunk,Totheads,Notes
7/26/2018,MPG,1,50,60,3,10,5,3,0,1,0,3,"weevils or aphids, lots of damage"
7/26/2018,MPG,2,40,10,3,0,0,0,1,1,0,3,"weevil, small and orange (pupae?)"
7/26/2018,MPG,3,36,10,0,5,10,5,0,0,0,2,
7/26/2018,MPG,4,24,0,5,3,3,3,0,0,0,2,mostly stippling damage
7/26/2018,MPG,5,31,5,2,0,0,3,0,0,0,2,
7/26/2018,MPG,6,43,3,0,0,0,0,0,0,0,2,
7/26/2018,MPG,7,45,0,5,0,5,0,0,0,0,2,
7/26/2018,MPG,8,64,3,0,3,0,0,0,0,0,2,
7/26/2018,MPG,9,38,25,5,20,5,5,1,0,0,2,
7/26/2018,MPG,10,23,2,0,0,3,0,0,0,0,2,
7/26/2018,MPG,11,54,50,40,25,5,10,0,0,0,2,
7/26/2018,MPG,12,48,50,5,5,15,20,0,0,0,2,
7/27/2018,MS,1,42,10,5,25,10,15,2,0,0,3,
7/27/2018,MS,2,53,5,0,0,0,5,0,1,0,3,
7/27/2018,MS,3,48,5,5,3,3,0,2,0,0,3,
7/27/2018,MS,4,47,5,3,15,15,3,1,0,0,3,
7/27/2018,MS,5,48,10,3,3,0,0,2,0,0,3,
7/27/2018,MS,6,37,0,2,0,0,3,0,0,0,3,
7/27/2018,MS,7,33,20,25,10,5,0,1,1,0,3,
7/27/2018,MS,8,32,5,0,0,0,0,1,0,0,3,
7/27/2018,MS,9,55,5,15,10,10,40,0,0,0,3,
7/27/2018,MS,10,34,0,0,3,0,0,1,1,0,3,
7/27/2018,MS,11,36,3,3,10,3,5,0,0,0,3,
7/27/2018,MS,12,33,15,0,3,5,3,0,0,0,3,
7/27/2018,MS,13,39,0,5,0,0,3,1,1,0,3,
7/27/2018,MS,14,46,3,0,10,30,15,1,1,0,3,
7/27/2018,MS,15,48,5,3,5,5,8,1,0,0,3,
7/27/2018,NH,1,48,5,0,0,5,0,1,0,0,3,
7/27/2018,NH,2,51,3,5,0,10,0,1,1,0,3,
7/27/2018,NH,3,59,3,3,0,0,20,0,0,0,3,
7/27/2018,NH,4,42,0,2,0,5,0,0,0,0,3,
7/27/2018,NH,5,51,5,5,0,0,0,2,0,0,3,
7/27/2018,NH,6,46,5,2,2,15,5,0,0,0,3,
7/27/2018,NH,7,35,0,0,0,0,2,0,0,0,3,
7/27/2018,NH,8,28,0,20,15,5,5,0,2,0,3,
7/27/2018,NH,9,36,0,0,3,0,10,1,0,0,3,
7/27/2018,NH,10,42,0,0,0,0,20,0,0,0,3,
7/27/2018,NH,11,33,0,0,3,2,5,1,0,0,3,
7/27/2018,NH,12,67,2,5,2,5,3,1,0,0,3,
7/27/2018,NH,13,47,2,5,0,0,0,0,0,0,3,
7/27/2018,NH,14,43,5,3,40,5,2,1,0,0,3,
7/30/2018,BF,1,36,0,0,0,0,0,0,0,0,1,
7/30/2018,BF,2,24,0,0,0,0,0,,,,,
7/30/2018,BF,3,32,0,0,0,0,0,0,0,0,1,
7/30/2018,BF,4,28,5,5,3,0,0,0,0,0,1,
7/30/2018,BF,5,33,0,0,0,5,0,0,0,0,1,
7/30/2018,BF,6,51,0,5,5,3,10,0,0,1,1,
7/30/2018,BF,7,31,0,0,5,0,0,0,0,0,1,
7/30/2018,BF,8,32,3,0,0,0,0,0,0,0,1,
7/30/2018,BF,9,34,25,15,0,0,5,0,0,0,1,
7/30/2018,BF,10,34,0,0,0,0,0,0,0,0,1,
7/30/2018,CWN,1,41,5,5,0,10,5,1,0,0,1,
7/30/2018,CWN,2,32,0,0,10,0,0,0,0,0,1,
7/30/2018,CWN,3,43,0,2,0,0,0,0,0,0,1,
7/30/2018,CWN,4,47,0,2,0,0,2,0,0,0,2,
7/30/2018,CWN,5,40,2,2,0,0,0,1,0,0,1,
7/30/2018,CWN,6,42,0,0,5,0,0,1,0,0,2,
7/30/2018,CWN,7,43,0,0,0,0,10,,,,,
7/30/2018,CWN,8,37,0,0,10,0,0,1,0,0,1,
7/30/2018,CWN,9,55,0,0,0,0,0,,,,,
7/30/2018,CWN,10,60,5,0,0,0,0,0,0,0,1,
7/30/2018,CWN,11,40,0,0,0,0,0,0,0,0,2,
7/30/2018,CWN,12,44,0,0,0,0,0,0,0,0,1,
7/30/2018,CWN,13,33,0,0,0,2,0,0,0,0,1,
8/1/2018,MJS,1,44,0,8,5,10,0,1,0,0,3,
8/1/2018,MJS,2,42,15,5,0,2,3,0,1,0,3,
8/1/2018,MJS,3,39,5,3,5,0,0,0,2,0,3,
8/1/2018,MJS,4,38,5,5,5,3,0,0,0,0,3,
8/1/2018,MJS,5,40,2,2,0,3,3,1,0,0,3,
8/1/2018,MJS,6,47,3,3,5,5,0,1,0,0,3,
8/1/2018,MJS,7,63,0,0,5,5,0,0,0,0,3,
8/1/2018,MJS,8,52,0,8,0,0,0,0,0,0,3,
8/1/2018,MJS,9,45,15,5,5,0,0,2,0,0,3,
8/1/2018,MJS,10,40,5,10,5,10,0,0,1,0,3,
8/1/2018,MJS,11,42,5,5,3,0,5,1,0,0,3,
8/1/2018,MJS,12,46,0,15,25,10,5,1,0,0,3,
8/14/2018,BRP,1,40,10,5,5,0,0,0,0,0,2,
8/14/2018,BRP,2,59,10,5,5,0,0,0,0,0,1,
8/14/2018,BRP,3,51,0,5,0,3,0,0,0,0,1,
8/14/2018,BRP,4,46,20,5,3,3,0,0,0,0,1,
8/14/2018,BRP,5,53,3,10,2,10,5,0,0,0,1,
8/14/2018,BRP,6,40,15,10,5,10,5,0,0,0,1,
8/14/2018,BRS,1,74,0,10,5,0,0,0,0,0,1,
8/14/2018,BRS,2,58,0,0,3,3,3,1,0,0,1,
8/14/2018,BRS,3,51,0,3,10,10,0,0,0,0,1,
8/14/2018,BRS,4,58,0,8,0,0,0,1,0,0,1,
8/14/2018,BRS,5,81,15,3,0,15,20,0,0,0,2,
8/14/2018,BRS,6,65,0,8,0,5,3,0,0,0,1,
8/14/2018,BRS,7,74,20,0,15,0,0,0,0,0,1,
8/14/2018,BRS,8,67,0,0,0,3,0,0,0,0,1,
8/21/2018,UWM,1,67,10,20,20,5,3,0,1,1,2,
8/21/2018,UWM,2,73,5,10,3,5,5,0,3,0,3,"Minor damage, stippling on lvs"
8/21/2018,UWM,3,82,20,15,35,15,10,0,3,0,3,
8/21/2018,UWM,4,73,15,5,10,0,5,0,0,0,1,
8/21/2018,UWM,5,69,0,10,15,5,25,0,2,0,2,
8/21/2018,UWM,6,63,5,10,10,5,5,0,0,0,2,
8/21/2018,UWM,7,69,10,10,5,5,10,0,0,0,1,
8/21/2018,UWM,8,73,5,3,3,10,5,1,2,0,3,
8/21/2018,UWM,9,60,10,15,10,5,10,0,3,0,3,
8/21/2018,UWM,10,64,10,5,5,15,8,0,0,0,1,
8/22/2018,GRE,1,97,0,20,10,5,10,,,,,senscesed
8/22/2018,GRE,2,89,,,,,,1,1,0,3,leaves senesced
8/22/2018,GRE,3,57,5,5,5,3,0,0,0,1,1,
8/22/2018,GRE,4,85,5,5,5,3,5,0,0,1,1,
8/22/2018,GRE,5,71,5,10,3,5,10,0,0,0,1,
8/22/2018,GRE,6,81,10,0,5,5,8,0,0,1,1,
8/22/2018,GRE,7,95,10,3,5,3,5,0,1,0,3,
8/22/2018,GRE,8,82,3,10,15,10,15,0,1,0,2,
8/22/2018,GRE,9,73,5,3,10,15,5,1,0,0,1,
8/22/2018,GRE,10,68,5,8,5,3,2,0,0,0,2,
8/22/2018,BOL,1,99,0,10,3,0,2,0,1,1,3,
8/22/2018,BOL,2,76,3,8,5,10,0,0,2,0,4,
8/22/2018,BOL,3,58,0,2,3,5,0,0,2,1,3,
8/22/2018,BOL,4,65,0,10,0,8,0,0,0,0,3,
8/22/2018,BOL,5,54,3,10,3,0,0,0,0,1,2,
8/22/2018,BOL,6,76,5,3,0,2,3,0,1,1,3,
8/22/2018,BOL,7,72,0,0,0,3,8,0,0,3,3,
8/22/2018,BOL,8,74,0,3,10,5,5,0,1,1,3,
8/22/2018,BOL,9,74,3,5,3,3,5,0,2,0,3,
8/22/2018,BOL,10,82,10,5,8,0,5,0,1,0,3,
8/22/2018,BOL,11,108,2,10,0,3,0,0,3,0,3,
8/22/2018,BOL,12,84,0,5,0,8,3,0,2,0,3,
8/22/2018,BOL,13,84,5,3,0,10,3,0,0,1,3,
8/22/2018,BOL,14,100,5,10,0,0,0,0,0,0,3,
8/22/2018,BOL,15,97,0,2,0,0,0,0,1,0,3,
8/23/2018,SRD,1,79,2,10,5,10,0,0,2,0,3,
8/23/2018,SRD,2,83,20,2,15,5,5,0,0,0,1,
8/23/2018,SRD,3,81,20,35,0,5,5,0,1,0,3,
8/23/2018,SRD,4,66,5,15,10,5,0,0,0,0,1,
8/23/2018,SRD,5,63,5,3,3,0,0,0,1,0,1,
8/23/2018,SRD,6,72,5,5,10,8,10,0,0,0,2,
8/23/2018,SRD,7,58,0,10,40,0,0,0,2,0,2,
8/23/2018,SRD,8,80,3,0,0,8,5,0,0,1,2,
8/23/2018,SRD,9,74,0,0,0,3,2,0,1,0,3,
8/23/2018,SRD,10,70,5,3,0,5,10,0,0,1,2,
8/23/2018,SRD,11,77,5,5,5,5,3,0,0,1,3,
8/23/2018,SRD,12,73,0,5,0,15,10,0,0,0,1,
8/23/2018,SDA,1,62,5,8,3,3,5,0,0,1,2,
8/23/2018,SDA,2,67,2,0,2,10,10,0,1,0,1,
8/23/2018,SDA,3,52,5,3,0,3,0,0,1,0,2,
8/23/2018,SDA,4,58,0,0,3,2,10,0,0,1,2,
8/23/2018,SDA,5,56,5,2,0,0,0,0,1,1,3,
8/23/2018,SDA,6,84,5,0,5,8,3,0,1,1,3,
8/23/2018,SDA,7,94,0,2,0,0,2,0,2,0,2,
8/23/2018,SDA,8,100,3,0,5,0,5,0,2,0,2,
8/23/2018,SDA,9,67,0,5,5,15,3,0,2,0,3,
8/23/2018,SDA,10,50,10,20,5,15,25,0,0,0,1,
8/23/2018,SDA,11,50,10,20,5,15,25,0,0,0,1,
8/23/2018,SDA,12,66,0,5,3,0,0,0,1,0,1,
8/23/2018,SDA,13,70,0,5,0,0,0,0,1,1,2,
8/23/2018,SDA,14,84,0,0,5,5,15,0,1,2,3,
8/23/2018,STB,1,47,5,3,5,0,3,0,1,1,2,
8/23/2018,STB,2,40,3,0,0,3,0,0,0,1,1,
8/23/2018,STB,3,48,0,0,3,10,25,0,1,1,2,
8/23/2018,STB,4,47,0,3,3,5,3,0,1,0,2,
